model,recall@3,recall@5,precision@3,mrr,ndcg@5
openai,0.7833333333333333,0.9,0.6,1.0,0.9161230352509255
cohere,0.6833333333333333,0.75,0.5333333333333333,1.0,0.8051269665497938
open_source,0.6833333333333333,0.75,0.5333333333333333,0.8666666666666666,0.7438122472732479
